ID,Species,Feather,B1,B2,B3,S1U,S1V,S1B,S1G,S1Y,S1R,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,H3,H4,H5
UC19RR02,D. benghalense,Crown,3012.261703,7.511874571,20.81990909,0.074033958,0.082945239,0.114992207,0.224814337,0.262537699,0.592976454,27.67742831,0.338410626,0.81907007,1608.082137,20.06767486,-0.279515208,2.671460321,0.849060073,2.188113193,700,421,593,0.271132778,417
UC19RR02,D. benghalense,Mantle,4972.445998,12.40011471,30.075625,0.052308442,0.056306095,0.05218807,0.346334805,0.370647544,0.555564839,48.77912265,0.326482231,1.013913914,2996.809225,29.45905743,-0.687024255,2.375708461,0.914383761,2.408763864,696,421,540,0.472147651,417
UC19RR03,D. benghalense,Crown,3603.97998,8.987481248,26.64315152,0.093146562,0.102098502,0.094107129,0.174183071,0.244621107,0.645154033,29.69515339,0.366778288,0.723252252,2118.474004,25.74592929,-0.355248347,2.86464345,0.877643493,2.071859827,700,354,597,0.116589612,434
UC19RR03,D. benghalense,Mantle,4150.256211,10.34976611,23.60330303,0.06795293,0.073326329,0.068951172,0.3531891,0.359225096,0.516283592,26.2761299,0.282155438,0.572108108,2290.059742,22.70502375,-0.637382717,2.193771676,0.882273225,1.255074563,700,386,535,0.509800352,302
UC20RR02,D. benghalense,Crown,3928.306399,9.79627531,22.39533333,0.147831498,0.167278651,0.149450083,0.210732431,0.234296575,0.498912851,4.950612508,0.281800258,0.182972222,1524.366639,17.87158333,-0.060378563,1.824324324,0.769214486,0.333800676,700,406,596,0.151727415,594
UC20RR02,D. benghalense,Mantle,5938.563275,14.80938473,36.44627273,0.06381578,0.070814913,0.057896676,0.333758746,0.360089327,0.550915816,15.6252608,0.303838493,0.219755255,3455.689833,34.1137502,-0.635626248,2.303522451,0.918835373,0.506211164,700,418,544,0.445432908,530
UC20RR03,D. benghalense,Crown,3075.538357,7.669671712,23.35945455,0.052339088,0.059968383,0.092672163,0.208152111,0.271715798,0.653652823,206.1128342,0.371184024,0.575558559,1887.923171,23.24612121,-0.401785339,3.030914762,0.881908392,1.744468931,700,386,594,0.23529129,441
UC20RR03,D. benghalense,Mantle,4999.679221,12.46802798,28.69890909,0.068323653,0.075114957,0.066333767,0.345218413,0.362019771,0.526551342,22.42891579,0.286868016,0.756369369,2784.882274,27.41935954,-0.636936012,2.199173725,0.885867387,1.663387643,700,386,538,0.483135993,530
UC20RR05,D. benghalense,Crown,4305.591599,10.73713616,29.796,0.128307319,0.145156808,0.122360102,0.160760173,0.215795385,0.595033215,6.705524924,0.355824778,0.149619048,2167.606565,25.3525,-0.194071742,2.361197588,0.8363575,0.353280134,698,517,604,0.047964383,598
UC20RR05,D. benghalense,Mantle,4802.319176,11.97585829,27.971125,0.0925286,0.10447029,0.092178221,0.307815504,0.324485016,0.514007674,7.721971289,0.291743933,0.147148148,2385.698745,24.34884722,-0.455560839,2.033160933,0.854017409,0.299175866,699,458,552,0.416435112,521
