ID,ID_only,Population,Species,B1,B2,B3,S1U,S1V,S1B,S1G,S1Y,S1R,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,ID_only,H3,H4,H5
UF01SS03_Allo.R_creast,UF01SS03,Allo.R,D.psarodes,2639.683477,6.582751814,13.49884848,0.181026099,0.2069974,0.188432359,0.201418083,0.204213604,0.435906999,3.482575215,0.318156331,0.822888889,743.6898049,9.622737374,0.124905117,1.461810751,0.682505116,1.202907825,685,410,UF01SS03,604,0.075747543,369
UF02SS01_Allo.R_creast,UF02SS01,Allo.R,D.psarodes,3231.892048,8.059581166,24.47482828,0.116661681,0.132966728,0.118789716,0.148892406,0.200955476,0.621681083,9.379951384,0.402355116,0.579212963,1717.361765,21.86555801,-0.207734727,2.712989368,0.854952416,1.57139861,695,412,UF02SS01,609,0.0476699,347
UF02SS03_Allo.R_creast,UF02SS03,Allo.R,D.psarodes,3893.160505,9.708629688,27.88966667,0.10562712,0.120097449,0.127418128,0.174685215,0.220749753,0.598780288,11.25212812,0.36179476,0.635867868,1977.295551,25.41105405,-0.209453856,2.617367731,0.837425058,1.664300038,698,415,UF02SS03,603,0.124832786,432
UF01SS02_Allo.R_creast,UF01SS02,Allo.R,D.psarodes,1462.682991,3.647588507,13.75839394,0.006277196,0.006277196,0.070678759,0.191465005,0.257886974,0.737292141,Inf,0.482021261,0.345712963,1056.539832,13.75839394,-0.469880643,3.771915037,0.94197292,1.303999924,695,473,UF01SS02,605,0.245224569,515
UF01SS05_Allo.R_creast,UF01SS05,Allo.R,D.psarodes,2372.661257,5.916860989,21.93337374,0.015012483,0.015125939,0.058572258,0.160986789,0.247454294,0.771099298,Inf,0.494259185,0.460027027,1791.666483,21.93337374,-0.55626103,3.706927335,0.91942983,1.705286761,695,394,UF01SS05,603,0.175992859,602
UF02SS04_Allo.R_creast,UF02SS04,Allo.R,D.psarodes,2951.008754,7.359124076,20.06339394,0.120758915,0.138688183,0.156261283,0.197395798,0.217974849,0.532129234,8.24862023,0.317171122,0.78334661,1228.009621,17.63106061,-0.038055796,2.395809668,0.790942279,1.876749381,700,305,UF02SS04,608,0.180254062,390
UC29RR04_HYB_creast,UC29RR04,HYB,hybrids,5704.879743,14.22663278,27.0930625,0.255658094,0.296422423,0.200815756,0.153091033,0.164823222,0.39742672,4.203982004,0.234782644,0.855092593,1401.439543,20.64844345,0.219348459,1.451393578,0.688274812,1.241075898,699,420,UC29RR04,607,-0.432282748,424
UE07RR03_HYB_creast,UE07RR03,HYB,hybrids,2888.7394,7.203838902,22.68663636,0.077899978,0.087895661,0.088196713,0.170332957,0.243818964,0.670075046,35.17504486,0.384634587,0.96684985,1789.581803,22.0416724,-0.388889331,3.059712009,0.896230312,2.958282096,700,415,UE07RR03,599,0.128984462,317
UC20RR04_HYB_creast,UC20RR04,HYB,hybrids,4312.023334,10.7531754,26.99921212,0.117471733,0.136318708,0.145112333,0.196327107,0.235493524,0.548108714,6.514644891,0.31000781,0.183513514,1910.61066,22.85482473,-0.154970703,2.125402394,0.787956775,0.390040061,700,418,UC20RR04,597,0.163952723,594
UC28RR02_HYB_creast,UC28RR02,HYB,hybrids,4211.56739,10.50266182,31.77451515,0.1077012,0.120978911,0.098701523,0.15159469,0.222082925,0.648272969,10.10402383,0.374593896,0.197039039,2441.870492,28.62977641,-0.30913366,2.725954325,0.878532984,0.537119421,700,418,UC28RR02,603,0.056498923,603
