"","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"UC12RR02_SymR_mantle",3277.39948671495,8.17306605165822,25.2140625,0.0992472947671378,0.109956469796614,0.0945681026549993,0.160220247435707,0.226421348389263,0.652170457301487,16.8542155363962,0.399849647088369,0.616795795795782,1932.54520226441,23.7180532407407,-0.325268524292586,2.90197743305019,0.886058673866652,1.78992748019959,697,390,602,0.0849960711941866,386
"UC14RR01_SymR_mantle",5873.7925591805,14.6478617435923,31.272625,0.181746808860632,0.206270397925731,0.172920189493589,0.190157730905181,0.208141940053042,0.461941115086338,3.56031554779705,0.268328961794697,0.16969369369369,1887.33702022422,22.4889583333333,0.0657482561042312,1.53530656740197,0.705257897397754,0.260531842374621,699,377,603,0.0211690670342605,603
"UC14RR04_SymR_mantle",6678.33647740913,16.6542056793245,25.0177291666667,0.299281973833127,0.345430136740497,0.228526221419534,0.157335121101746,0.153596629447309,0.321969187610996,2.87862621090582,0.186524514603618,0.934629629629651,1229.28462932578,16.3268720238095,0.363570595244258,0.980345285640289,0.539978013034262,0.916259751227157,699,427,606,-0.85934617438706,338
"UC19RR02_Mannar_mantle",4972.44599753156,12.4001147070612,30.075625,0.0523084423392375,0.056306095128726,0.0521880701203761,0.346334804770659,0.370647543801565,0.555564839388683,48.7791226493657,0.326482231397999,1.0139139139139,2996.80922495133,29.4590574324324,-0.687024254519934,2.37570846144326,0.914383761322022,2.40876386446032,696,421,540,0.472147650639635,417
"UC19RR03_Mannar_mantle",4150.25621096978,10.3497661121441,23.603303030303,0.0679529295193987,0.0733263285577009,0.0689511724231994,0.353189099551786,0.35922509627958,0.516283592095177,26.2761299016502,0.282155437949467,0.572108108108134,2290.05974222712,22.7050237510238,-0.637382716535839,2.19377167609444,0.882273225184913,1.2550745632316,700,386,535,0.509800352302564,302
"UC20RR02_Mannar_mantle",5938.56327532775,14.8093847265031,36.4462727272727,0.0638157800555261,0.0708149128618948,0.0578966757210812,0.333758746449581,0.360089326601581,0.550915815589741,15.6252607961349,0.303838493062683,0.219755255255256,3455.68983273668,34.1137502047502,-0.635626247640379,2.30352245111842,0.918835372541825,0.506211164231743,700,418,544,0.445432907856811,530
"UC20RR03_Mannar_mantle",4999.67922136888,12.4680279834635,28.6989090909091,0.068323652715025,0.0751149572849706,0.0663337667734917,0.345218412848471,0.362019771316576,0.52655134174124,22.4289157860375,0.286868016020313,0.756369369369388,2784.88227427989,27.4193595413595,-0.636936012338731,2.19917372480444,0.885867387115455,1.66338764336407,700,386,538,0.48313599288621,530
"UC20RR04_HYB_mantle",5320.63832508199,13.2684247508279,25.9720303030303,0.149532896303444,0.169167339463826,0.155392593852054,0.259991077968705,0.266724765624144,0.442017784785671,3.88671933899963,0.243690439996251,0.194708708708711,1800.79963956395,19.2897803030303,-0.10933374936324,1.45381088300076,0.709887339306866,0.283069639735749,700,418,573,0.317092492047773,594
"UC20RR05_Mannar_mantle",4802.31917569512,11.975858293504,27.971125,0.0925285998245504,0.104470289549339,0.0921782205247449,0.307815503529475,0.324485016173903,0.514007674025089,7.72197128878392,0.291743933032431,0.147148148148149,2385.69874533706,24.3488472222222,-0.455560839202808,2.0331609330606,0.854017409225262,0.299175866187031,699,458,552,0.416435112207929,521
"UC20RR06_Mannar_mantle",6876.09273883925,17.1473634385019,34.2815151515152,0.130217042369806,0.149110872144949,0.133742732954664,0.292272835853142,0.295702642794517,0.450659207899692,4.6100142939591,0.24734453810739,0.205585085085083,2630.04076166577,26.8452008658009,-0.292795938459266,1.56555851644947,0.762387873823491,0.32185548080994,700,419,552,0.411721667787991,528
"UC20RR07_Mannar_mantle",4836.29879532403,12.0605954995612,24.627696969697,0.137731861806408,0.156062191818,0.125604681861033,0.288384086142866,0.292593954884858,0.455068932267384,5.72400150683626,0.251110214148702,0.736918918918921,1883.99976399984,20.3251654381654,-0.308019183926933,1.68525388641921,0.795532827866465,1.24189547208395,700,359,550,0.372477581020836,398
"UC20RR08_HYB_mantle",9269.30338913562,23.1154697983432,32.2179791666667,0.301559623786161,0.348899237165636,0.231654676311201,0.170902523014712,0.163148535219642,0.303135995906283,2.6726540520533,0.173884467519693,1.15934259259262,1501.87853396719,20.1633029761905,0.366629658615252,0.872286098967181,0.502326127170822,1.01127842745911,699,427,599,-0.915313252101417,370
"UC27RR01_SymR_mantle",5086.32467911961,12.6841014441885,37.3811666666667,0.123925615575628,0.141376080366855,0.120816412506007,0.145941935537075,0.20123687448241,0.615488073118498,7.2747841671949,0.375068696853925,0.206787037037038,2659.54682152377,32.2427095238095,-0.202852784469148,2.54197821309464,0.84886877297907,0.525648142898544,698,445,608,0.0275519738051762,604
"UC28RR01_SymY_mantle",6775.76629756804,16.8971728118904,36.6146666666667,0.121579603788815,0.137166328613233,0.112830393104559,0.276346504501598,0.299702287446768,0.496095886060475,5.56334122592654,0.271739378096839,0.21283783783784,2985.15930269884,30.03325,-0.293874046057613,1.77741272663471,0.815936944919866,0.378300681682393,700,373,566,0.330351320741018,533
"UC28RR02_HYB_mantle",4024.10846773271,10.0351832113035,31.0339166666667,0.0981221900327213,0.109753378602742,0.0813688132323051,0.168962231134609,0.246883916316291,0.658005930855054,12.5605820559194,0.385879640908929,0.236549549549556,2452.84897246823,28.5631779279279,-0.365191835512134,2.8463035827542,0.9097102452302,0.673291830381793,699,368,599,0.0913949545596513,594
"UC29RR01_SymR_mantle",3438.69940776574,8.57531024380485,26.7722291666667,0.080573178266773,0.0897493920031295,0.0853298260660477,0.174674256135967,0.250697299704521,0.666025994133939,29.1836645605392,0.403145854160533,0.64824371740161,2126.23755980737,25.8548587962963,-0.398753141374861,3.01503479888379,0.89039834271333,1.95447736612365,697,305,597,0.129794456920162,355
"UC29RR04_HYB_mantle",5421.68348967295,13.5204077049201,27.1951458333333,0.223230857248933,0.258663721901249,0.16937254845001,0.184751463316627,0.208264929744833,0.429690810914723,5.61773741931422,0.250140659772177,0.762410410410441,1578.13964097606,22.3542029761905,0.0736137362588168,1.65336752145838,0.757756110197956,1.26054461059438,699,375,594,-0.153748092632387,370
"UC30RR01_HYB_mantle",5020.48433812778,12.5199110676503,30.025,0.132212370599006,0.148911738332803,0.121843439849331,0.226291590197827,0.26260018689558,0.52634073201289,5.74423309253624,0.307996337870252,0.139072072072072,2235.08446606383,24.7980185185185,-0.174471856729537,1.98068647488983,0.817016160084285,0.275458172188056,698,344,589,0.190578627308226,588
"UD23RR01_HYB_mantle",5266.86891876895,13.1343364557829,25.1825757575758,0.153851749942106,0.175311885596648,0.147233839217805,0.275558374436934,0.277702455727913,0.430209114794355,4.03712950891188,0.236645758173801,0.209462962962967,1770.78329419833,18.9448329004329,-0.191410773368202,1.44238979747558,0.728339500416153,0.30212724072679,700,447,558,0.347893193977886,521
"UD30RR01_Jaffna_mantle",3919.62773398566,9.77463275308146,21.3371666666667,0.126721532777011,0.142228807605043,0.114982697791644,0.287578922813273,0.297609980218195,0.477242132621267,5.99962509079832,0.276443012002044,0.226916666666664,1657.25155168474,17.78075,-0.314604214557476,1.81907090006984,0.817468841468237,0.412777505074176,698,425,557,0.36487903328022,526
"UD30RR03_Jaffna_mantle",9482.35318555076,23.646766048755,42.3041111111111,0.14856724787357,0.166733343114946,0.119965073468709,0.317200450140555,0.307412958392559,0.420982046179941,4.57013277744324,0.247601372652378,0.716684684684667,3506.63091673061,33.047462962963,-0.378856891296606,1.39754683134368,0.775788096018273,1.0016004101536,695,376,533,0.44448556113204,528
"UD30RR04_Jaffna_mantle",5934.85121120462,14.8001277087397,31.4278333333333,0.105556206100822,0.118372391620444,0.0899061627295448,0.328810469142793,0.332499758808629,0.482301209601081,8.8822591076212,0.272506779553355,0.748814814814825,2809.91578028648,27.8895630630631,-0.509214054147001,1.88441367614645,0.85731241489836,1.41107687793812,698,427,537,0.45695738820944,317
"UE01RR01_Jaffna_mantle",4485.74513843041,11.1863968539412,26.8159292929293,0.0259476598083247,0.0259919110963213,0.0684313268932285,0.356632398159245,0.370976708908604,0.555535563424302,Inf,0.330944484026601,0.538598624940728,2745.8156747476,26.8159292929293,-0.705715396199466,2.39719094924489,0.872828244855819,1.29112374898366,695,315,537,0.540834440779251,307
"UE01RR02_Jaffna_mantle",8689.97856947959,21.6707694999491,31.4113333333333,0.253981637676369,0.293168222097281,0.191993717305589,0.23321822750196,0.223552919849075,0.327948211300968,3.41477379203383,0.17895180570041,1.26534259259262,1443.84607760241,22.2126761904762,-0.895072067083621,1.02500634278485,0.609320061407418,1.29698418320326,700,427,323,-0.145906029824168,338
"UE01RR03_Jaffna_mantle",5816.48308162439,14.5049453407092,32.027875,0.0834023690456046,0.0919461181848944,0.0697181477560883,0.348644144352465,0.352814814509617,0.504630633880154,12.0009658749502,0.296230809421226,0.755126126126145,3078.88018673487,29.3591002252252,-0.612126529422634,2.02407520577322,0.894432693605215,1.52843206912351,696,372,534,0.488441044652719,522
"UE01RR04_Jaffna_mantle",5540.17064255947,13.8158868891757,27.05,0.126807832109516,0.143420628206119,0.130114141364168,0.310124408774896,0.30272978787818,0.439711365892961,4.5844004218138,0.25041703360314,0.155418918918925,2137.72839013858,21.1495555555556,-0.36341897987317,1.53081417973431,0.760969713684106,0.237917484880067,698,383,540,0.471643759653207,530
"UE02RR01_SymY_mantle",5135.03296989394,12.8055685034761,28.6031818181818,0.102467017522118,0.116840028380539,0.108531571460934,0.295278317242592,0.314916044571609,0.500605793136104,8.26075001383714,0.275510638965904,0.655515015015027,2376.12207072471,25.1406412776413,-0.39988484804479,1.96325850514303,0.835215172901699,1.28694542847722,700,418,554,0.40062091019839,380
"UE07RR01_HYB_mantle",4751.87838398269,11.8500707829992,29.616595959596,0.092799733975672,0.102505821109785,0.0877524450110098,0.272373842212416,0.31176829955539,0.553624019278659,10.5793498233343,0.337434678219796,0.641796796796786,2497.43442426064,26.8171237373737,-0.381098216298055,2.26303489898534,0.867957528617518,1.45240854920813,695,374,572,0.318425381112224,392
"UE07RR02_SymY_mantle",9395.61634937049,23.4304647116471,33.2633333333333,0.316844991192703,0.367049867910782,0.236933147143381,0.186835817593965,0.171346751164451,0.266789934157746,2.89422786891223,0.283295817196718,1.59487037037041,1314.98678599883,21.7703428571429,0.425080840763687,0.929146866059425,0.424409042231074,1.4818688064007,418,427,596,-1.15308876311817,472
"UE07RR03_HYB_mantle",7174.3627354445,17.8911788913828,36.3433958333333,0.166038440894249,0.186601753568043,0.152099615702593,0.236037643718589,0.249215992751673,0.452645478509613,4.15815897797188,0.266966009521953,0.716045045045048,2444.0844340497,27.6031345720721,-0.0496552598433473,1.54283486513944,0.731465329384192,1.10473926050584,697,341,584,0.193042455050849,336
"UE07RR04_SymY_mantle",4913.93927860146,12.2542126648415,25.0438333333333,0.13704519194857,0.1542375677597,0.126013745277745,0.289113714005072,0.294504633544346,0.454526531278397,4.77445582620331,0.260572349600029,0.14895495495495,1911.13427676582,19.7984537037037,-0.292276423319592,1.61564469666071,0.778138090378343,0.240658283014299,698,376,553,0.376472938792179,530
"UE07RR05_SymR_mantle",4542.96102063868,11.3290798519668,27.3701875,0.146992711432475,0.166835770967096,0.158284655160947,0.201870329941872,0.220942034324779,0.499501180895381,5.6653696218398,0.306510897763442,0.700171171171196,1717.68218001634,22.5390486111111,-0.0243444324562732,1.98948625180696,0.757607547982946,1.39298091895667,697,386,601,0.138368460720965,398
"UE09RR01_SymY_mantle",3536.79618447982,8.81994060967536,25.3725454545455,0.108888139293908,0.123282252253312,0.119220211548578,0.17057417390163,0.223404391916191,0.607865822744988,13.1745007342114,0.351326024360051,0.894409909909913,1848.62074230169,23.4466625716626,-0.235774194754129,2.65836966588436,0.848976451388508,2.37767217337088,700,305,602,0.102822620344696,422
"UE09RR02_SymY_mantle",6453.51003243066,16.0935412280066,29.8695757575758,0.15241028821602,0.175414898534657,0.16198242515797,0.285431877959368,0.271190526486382,0.407199361296206,3.55504018662455,0.225807921544772,0.69537037037038,1990.56225747967,21.4675397215397,-0.195029401552858,1.33392268472156,0.70149980882093,0.927570311320283,700,427,549,0.433501020195284,390
"UF01SS02_Allo.R_mantle",3753.84914658618,9.36121981692314,30.2284343434343,0.0483016174647161,0.0518536345318809,0.105639805321114,0.193741186420073,0.240258385531967,0.658112457647096,97.4459446496418,0.426783385439994,0.675249999999977,2261.26201483582,29.9182271362271,-0.328662287651124,3.19597528114244,0.857108835569834,2.15808230859136,695,406,603,0.232712220371787,347
"UF01SS03_Allo.R_mantle",4125.13735824383,10.2871255816554,22.0329393939394,0.197152008990271,0.227048327393696,0.177740341099227,0.178382715792291,0.197959510012525,0.453522518826524,4.11625471302891,0.260798385125061,0.858620370370348,1265.63759617414,16.6802727272727,0.0829412256811578,1.62147070091357,0.735468459146643,1.39222777376308,700,410,603,-0.0696821443177837,379
"UF01SS05_Allo.R_mantle",3458.89988859788,8.62568550772539,28.49,0.0741489419822048,0.0815695716019217,0.0941561098358721,0.165974925014322,0.228128151717613,0.671665740867365,22.8823428796656,0.399575894606998,0.592333333333318,2122.42193843196,27.2449351851852,-0.339056542097408,3.15858202351383,0.885485485485486,1.87093341859465,700,388,605,0.134387313857112,386
"UF02SS01_Allo.R_mantle",4804.45159115294,11.9811760377879,36.3082424242424,0.121682507477142,0.138590380939566,0.124990181870013,0.155961502360196,0.203045433134481,0.603511939441034,7.34736777556339,0.362437892660354,0.649500000000005,2439.67453035096,31.3665757575758,-0.154841183201299,2.61798805548366,0.848325430554025,1.70038324203665,700,428,611,0.054757312738258,594
